Experiment Accession	Peak Accession	Biosample	Target	Lab	RFA
ENCSR781DPA	ENCFF136CZO	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF830	ZNF830	"Michael Snyder, Stanford"	ENCODE3
ENCSR784FYS	ENCFF833VNB	Homo sapiens HepG2	RBFOX2	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR620DUQ	ENCFF599FYT	Homo sapiens MCF-7	CREB1	"Michael Snyder, Stanford"	ENCODE3
ENCSR582ZOA	ENCFF079JBB	Homo sapiens MCF-7	NFIB	"Michael Snyder, Stanford"	ENCODE3
ENCSR641BSL	ENCFF794IRP	Homo sapiens K562	AGO1	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR404VWY	ENCFF581YZY	Homo sapiens prostate gland tissue male adult (37 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR791AYW	ENCFF274NOI	Homo sapiens heart left ventricle tissue female adult (51 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR691CPM	ENCFF923UMY	Homo sapiens spleen tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR832OGB	ENCFF689HWD	Homo sapiens K562	LEF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR465BWW	ENCFF321UQK	Homo sapiens HepG2	SRSF1	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR225OKX	ENCFF464DDN	Homo sapiens omental fat pad tissue female adult (51 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR928LDG	ENCFF741MWZ	Homo sapiens suprapubic skin tissue female adult (53 years)	EP300	"Richard Myers, HAIB"	ENCODE3
ENCSR450FRI	ENCFF129JPF	Homo sapiens esophagus squamous epithelium tissue male adult (54 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR096LSN	ENCFF816BMJ	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF311	ZNF311	"Michael Snyder, Stanford"	ENCODE3
ENCSR844PVS	ENCFF269FRP	Homo sapiens breast epithelium tissue male adult (54 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR173ZVL	ENCFF510ZBJ	Homo sapiens GM12878	ZNF592	"Michael Snyder, Stanford"	ENCODE3
ENCSR663WAR	ENCFF649VNE	Homo sapiens H1	REST	"Bradley Bernstein, Broad"	ENCODE3
ENCSR242BGR	ENCFF742RAU	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF770	ZNF770	"Michael Snyder, Stanford"	ENCODE3
ENCSR731AGO	ENCFF075FVV	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZSCAN5C	ZSCAN5C	"Michael Snyder, Stanford"	ENCODE3
ENCSR841NDX	ENCFF479HJF	Homo sapiens GM12878	ELF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR351NON	ENCFF624JUZ	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF629	ZNF629	"Michael Snyder, Stanford"	ENCODE3
ENCSR911JAX	ENCFF151LHR	Homo sapiens prostate gland tissue male adult (37 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR115BLD	ENCFF439CGG	Homo sapiens HepG2	KDM1A	"Bradley Bernstein, Broad"	ENCODE3
ENCSR906PEI	ENCFF981ITN	Homo sapiens HEK293T	SP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR004PLU	ENCFF890FAV	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB10	ZBTB10	"Michael Snyder, Stanford"	ENCODE3
ENCSR543DUC	ENCFF673HLW	Homo sapiens lower leg skin tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR928KOR	ENCFF365ETH	Homo sapiens K562	GMEB1	"Michael Snyder, Stanford"	ENCODE3
ENCSR961PPA	ENCFF213LSA	Homo sapiens GM12878	ATF2	"Michael Snyder, Stanford"	ENCODE3
ENCSR061DGF	ENCFF658GFZ	Homo sapiens GM23338 originated from GM23248	NANOG	"Richard Myers, HAIB"	ENCODE3
ENCSR431FOF	ENCFF691DTG	Homo sapiens HepG2	CHD4	"Bradley Bernstein, Broad"	ENCODE3
ENCSR298QUH	ENCFF669FUB	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens MZF1	MZF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR113GDB	ENCFF117AMM	Homo sapiens SK-N-MC	EZH2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR705ASR	ENCFF241RGR	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZSCAN23	ZSCAN23	"Michael Snyder, Stanford"	ENCODE3
ENCSR515LRI	ENCFF642DLX	Homo sapiens suprapubic skin tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR631WAA	ENCFF299VRF	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB17	ZBTB17	"Michael Snyder, Stanford"	ENCODE3
ENCSR102CSD	ENCFF292GYB	Homo sapiens transverse colon tissue male adult (37 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR342THD	ENCFF055QPX	Homo sapiens GM12878	BCLAF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR836COE	ENCFF937QYU	Homo sapiens K562	RBM17	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR447ZTA	ENCFF537PTF	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF558	ZNF558	"Michael Snyder, Stanford"	ENCODE3
ENCSR754SOI	ENCFF215BMA	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF529	ZNF529	"Michael Snyder, Stanford"	ENCODE3
ENCSR362NWP	ENCFF483YIX	Homo sapiens HepG2	ZNF24	"Michael Snyder, Stanford"	ENCODE3
ENCSR659SCK	ENCFF189UXQ	Homo sapiens HepG2	TOE1	"Michael Snyder, Stanford"	ENCODE3
ENCSR871KYB	ENCFF206NAT	Homo sapiens GM23338 originated from GM23248	REST	"Richard Myers, HAIB"	ENCODE3
ENCSR330OEO	ENCFF581FMI	Homo sapiens GM12878	HDAC2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR784VUY	ENCFF241UKW	Homo sapiens H1	RNF2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR557JTZ	ENCFF819AEG	Homo sapiens MCF-7	GTF2F1	"Michael Snyder, Stanford"	ENCODE3
ENCSR167XFW	ENCFF790PAD	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF544	ZNF544	"Michael Snyder, Stanford"	ENCODE3
ENCSR999QVR	ENCFF657NRR	Homo sapiens uterus tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR850WUE	ENCFF091TCH	Homo sapiens K562	RBM15	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR330EXS	ENCFF474JTH	Homo sapiens GM12878	RBBP5	"Bradley Bernstein, Broad"	ENCODE3
ENCSR659LJJ	ENCFF169BSN	Homo sapiens A549	HDAC2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR125NBL	ENCFF295FMF	Homo sapiens neural progenitor cell originated from H9	CTCF	"Bradley Bernstein, Broad"	ENCODE3
ENCSR977HTH	ENCFF406WQB	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF18	ZNF18	"Michael Snyder, Stanford"	ENCODE3
ENCSR727HME	ENCFF490CTJ	Homo sapiens lower leg skin tissue female adult (51 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR626QJQ	ENCFF079ERC	Homo sapiens K562	CSDE1	"Michael Snyder, Stanford"	ENCODE3
ENCSR365GRX	ENCFF203JNU	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZFP37	ZFP37	"Michael Snyder, Stanford"	ENCODE3
ENCSR950ACO	ENCFF141YOK	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF785	ZNF785	"Michael Snyder, Stanford"	ENCODE3
ENCSR279IEM	ENCFF728MNA	Homo sapiens MCF-7	SIX4	"Michael Snyder, Stanford"	ENCODE3
ENCSR799GOY	ENCFF425AHN	Homo sapiens HepG2	YBX1	"Michael Snyder, Stanford"	ENCODE3
ENCSR146NLL	ENCFF184TPP	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens REPIN1	REPIN1	"Michael Snyder, Stanford"	ENCODE3
ENCSR764YDL	ENCFF931LUC	Homo sapiens K562	NR0B1	"Michael Snyder, Stanford"	ENCODE3
ENCSR472VBD	ENCFF536KQX	Homo sapiens sigmoid colon tissue male adult (54 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR720USO	ENCFF351NKT	Homo sapiens prostate gland tissue male adult (37 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR360HRA	ENCFF829FZW	Homo sapiens K562	KDM1A	"Michael Snyder, Stanford"	ENCODE3
ENCSR775HFF	ENCFF196LGK	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF791	ZNF791	"Michael Snyder, Stanford"	ENCODE3
ENCSR427BBI	ENCFF972FNO	Homo sapiens MCF-7	MLLT1	"Michael Snyder, Stanford"	ENCODE3
ENCSR610EFT	ENCFF952WTH	Homo sapiens body of pancreas tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR460LGH	ENCFF700AVT	Homo sapiens C4-2B	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR042TWZ	ENCFF285KBA	Homo sapiens MCF-7	SNIP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR892QHR	ENCFF540USW	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens PRDM6	PRDM6	"Michael Snyder, Stanford"	ENCODE3
ENCSR875PEI	ENCFF238QAG	Homo sapiens MCF-7	TRIM22	"Michael Snyder, Stanford"	ENCODE3
ENCSR218QFN	ENCFF080GLG	Homo sapiens PC-3	EZH2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR552PSV	ENCFF239WEU	Homo sapiens K562	MCM2	"Michael Snyder, Stanford"	ENCODE3
ENCSR278SQL	ENCFF511QTQ	Homo sapiens GM12878	NBN	"Michael Snyder, Stanford"	ENCODE3
ENCSR200JYP	ENCFF451AEQ	Homo sapiens K562	ZNF316	"Michael Snyder, Stanford"	ENCODE3
ENCSR367UUC	ENCFF227ELA	Homo sapiens gastroesophageal sphincter tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR828PZH	ENCFF976JNG	Homo sapiens upper lobe of left lung tissue male adult (37 years)	EP300	"Richard Myers, HAIB"	ENCODE3
ENCSR189TRZ	ENCFF504PFQ	Homo sapiens K562	TCF12	"Michael Snyder, Stanford"	ENCODE3
ENCSR091BOQ	ENCFF894BBO	Homo sapiens GM12878	SUZ12	"Bradley Bernstein, Broad"	ENCODE3
ENCSR903ELW	ENCFF871PDU	Homo sapiens HepG2	CREM	"Richard Myers, HAIB"	ENCODE3
ENCSR591EBL	ENCFF065ASC	Homo sapiens MCF-7	NBN	"Michael Snyder, Stanford"	ENCODE3
ENCSR419ANE	ENCFF631JVL	Homo sapiens Peyer's patch tissue male adult (37 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR093HXE	ENCFF055IOC	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF16	ZNF16	"Michael Snyder, Stanford"	ENCODE3
ENCSR874AFU	ENCFF819VMH	Homo sapiens GM12878	IKZF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR091JXL	ENCFF671ZGP	Homo sapiens K562	HES1	"Michael Snyder, Stanford"	ENCODE3
ENCSR384LYW	ENCFF245AUV	Homo sapiens hepatocyte originated from H9	EZH2	"Bradley Bernstein, Broad"	ENCODE3
ENCSR465VLK	ENCFF222VDW	Homo sapiens MCF-7	FOXK2	"Michael Snyder, Stanford"	ENCODE3
ENCSR897JAS	ENCFF030DLI	Homo sapiens MCF-7	CREB1	"Michael Snyder, Stanford"	ENCODE3
ENCSR357QJR	ENCFF024WWW	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZSCAN5A	ZSCAN5A	"Michael Snyder, Stanford"	ENCODE3
ENCSR773REP	ENCFF114DGV	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB7A	ZBTB7A	"Michael Snyder, Stanford"	ENCODE3
ENCSR066TET	ENCFF782YIG	Homo sapiens MCF-7	RFX1	"Michael Snyder, Stanford"	ENCODE3
ENCSR159GFL	ENCFF716RTC	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF518A	ZNF518A	"Michael Snyder, Stanford"	ENCODE3
ENCSR833FWC	ENCFF860GRV	Homo sapiens transverse colon tissue male adult (54 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR029LBT	ENCFF401QJU	Homo sapiens HepG2	FOXP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR324LTM	ENCFF632WJK	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens OSR2	OSR2	"Michael Snyder, Stanford"	ENCODE3
ENCSR360JOC	ENCFF587BZB	Homo sapiens MCF-7	CHD1	"Michael Snyder, Stanford"	ENCODE3
ENCSR807LQP	ENCFF444VWF	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens SP2	SP2	"Michael Snyder, Stanford"	ENCODE3
ENCSR699ZGH	ENCFF653SLQ	Homo sapiens heart left ventricle tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR233FAG	ENCFF847ISF	Homo sapiens HEK293T	PKNOX1	"Michael Snyder, Stanford"	ENCODE3
ENCSR267DFA	ENCFF011QFM	Homo sapiens HepG2	FOXA1	"Michael Snyder, Stanford"	ENCODE3
ENCSR872EVQ	ENCFF496SMN	Homo sapiens HepG2	PCBP1	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR753GIA	ENCFF668TMU	Homo sapiens HEK293T	TARDBP	"Michael Snyder, Stanford"	ENCODE3
ENCSR464CSO	ENCFF190ASU	Homo sapiens suprapubic skin tissue male adult (37 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR571BUF	ENCFF952WKN	Homo sapiens K562	ARHGAP35	"Michael Snyder, Stanford"	ENCODE3
ENCSR656MXA	ENCFF725YPY	Homo sapiens neural progenitor cell originated from H9	EZH2phosphoT487	"Bradley Bernstein, Broad"	ENCODE3
ENCSR778UBR	ENCFF531CLQ	Homo sapiens GM12878	ARID3A	"Michael Snyder, Stanford"	ENCODE3
ENCSR449UFF	ENCFF856VYW	Homo sapiens MCF-7	ZKSCAN1	"Michael Snyder, Stanford"	ENCODE3
ENCSR028EGI	ENCFF577UYO	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF26	ZNF26	"Michael Snyder, Stanford"	ENCODE3
ENCSR711SNW	ENCFF514WJW	Homo sapiens K562	NCOA1	"Michael Snyder, Stanford"	ENCODE3
ENCSR506HXN	ENCFF458VJS	Homo sapiens HepG2	TRIM22	"Michael Snyder, Stanford"	ENCODE3
ENCSR912NMR	ENCFF115WXJ	Homo sapiens MCF-7	NONO	"Michael Snyder, Stanford"	ENCODE3
ENCSR397DQC	ENCFF585OJO	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens KLF16	KLF16	"Michael Snyder, Stanford"	ENCODE3
ENCSR065WUF	ENCFF539RVI	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens KLF17	KLF17	"Michael Snyder, Stanford"	ENCODE3
ENCSR762PCG	ENCFF173APP	Homo sapiens subcutaneous adipose tissue tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR897ZXU	ENCFF096JXF	Homo sapiens MCF-7	E2F8	"Michael Snyder, Stanford"	ENCODE3
ENCSR247XFV	ENCFF504CCV	Homo sapiens HepG2	CCAR2	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR029IBC	ENCFF074XQR	Homo sapiens HepG2	ARNT	"Michael Snyder, Stanford"	ENCODE3
ENCSR237VLT	ENCFF624PTB	Homo sapiens K562	ZBTB40	"Michael Snyder, Stanford"	ENCODE3
ENCSR814KIO	ENCFF218OXB	Homo sapiens H1	CBX5	"Bradley Bernstein, Broad"	ENCODE3
ENCSR283MWQ	ENCFF667WTL	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF133	ZNF133	"Michael Snyder, Stanford"	ENCODE3
ENCSR469WII	ENCFF160PIE	Homo sapiens GM12878	BMI1	"Michael Snyder, Stanford"	ENCODE3
ENCSR657JLK	ENCFF257NOX	Homo sapiens K562	SIN3B	"Michael Snyder, Stanford"	ENCODE3
ENCSR439OCL	ENCFF015FXW	Homo sapiens K562	ZNF407	"Michael Snyder, Stanford"	ENCODE3
ENCSR156APP	ENCFF803CWD	Homo sapiens HepG2	PTBP1	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR334HSW	ENCFF545WAL	Homo sapiens K562	ZNF318	"Michael Snyder, Stanford"	ENCODE3
ENCSR450BLH	ENCFF036CYO	Homo sapiens adrenal gland tissue male adult (54 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR375VXU	ENCFF013GUN	Homo sapiens Peyer's patch tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR594SMP	ENCFF053PDX	Homo sapiens K562	PHF20	"Michael Snyder, Stanford"	ENCODE3
ENCSR264CZJ	ENCFF992HUS	Homo sapiens K562	THRA	"Michael Snyder, Stanford"	ENCODE3
ENCSR497VFH	ENCFF217EJG	Homo sapiens K562	ZNF639	"Michael Snyder, Stanford"	ENCODE3
ENCSR313BMV	ENCFF758MFR	Homo sapiens sigmoid colon tissue female adult (53 years)	EP300	"Richard Myers, HAIB"	ENCODE3
ENCSR167KBO	ENCFF840SLB	Homo sapiens K562	ZNF316	"Michael Snyder, Stanford"	ENCODE3
ENCSR106EBH	ENCFF536XNZ	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF366	ZNF366	"Michael Snyder, Stanford"	ENCODE3
ENCSR702BYX	ENCFF489IWB	Homo sapiens MCF-7	NFIB	"Michael Snyder, Stanford"	ENCODE3
ENCSR998NQG	ENCFF706MSC	Homo sapiens gastrocnemius medialis tissue male adult (54 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR878DES	ENCFF780SZL	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF624	ZNF624	"Michael Snyder, Stanford"	ENCODE3
ENCSR125DNC	ENCFF551LUE	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF394	ZNF394	"Michael Snyder, Stanford"	ENCODE3
ENCSR086FZL	ENCFF113LBV	Homo sapiens K562	KAT8	"Michael Snyder, Stanford"	ENCODE3
ENCSR867WPH	ENCFF044GNV	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	REST	"Richard Myers, HAIB"	ENCODE3
ENCSR859JGF	ENCFF187WJM	Homo sapiens HepG2	ATM	"Michael Snyder, Stanford"	ENCODE3
ENCSR011XCI	ENCFF818FOD	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF585B	ZNF585B	"Michael Snyder, Stanford"	ENCODE3
ENCSR770IWO	ENCFF059SOE	Homo sapiens adrenal gland tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR996ESX	ENCFF321LMQ	Homo sapiens K562	NFRKB	"Michael Snyder, Stanford"	ENCODE3
ENCSR791OZM	ENCFF849VEO	Homo sapiens K562	RBM25	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR229DYF	ENCFF167NBL	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB26	ZBTB26	"Michael Snyder, Stanford"	ENCODE3
ENCSR033FDW	ENCFF868LGS	Homo sapiens stomach tissue male adult (37 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR130HEG	ENCFF942JZR	Homo sapiens K562	COPS2	"Michael Snyder, Stanford"	ENCODE3
ENCSR331BDJ	ENCFF068MGV	Homo sapiens K562	NKRF	"Michael Snyder, Stanford"	ENCODE3
ENCSR917QNE	ENCFF893YQZ	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	RAD21	"Richard Myers, HAIB"	ENCODE3
ENCSR334KIQ	ENCFF594LBX	Homo sapiens HepG2	SP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR729LGA	ENCFF932UJX	Homo sapiens MCF-7	SP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR310NYI	ENCFF139CMF	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	FOXA2	"Richard Myers, HAIB"	ENCODE3
ENCSR803GYT	ENCFF979QGX	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens HIC1	HIC1	"Michael Snyder, Stanford"	ENCODE3
ENCSR338MMB	ENCFF615MHO	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	NR2F2	"Richard Myers, HAIB"	ENCODE3
ENCSR175SZH	ENCFF151WYQ	Homo sapiens K562	ZSCAN29	"Michael Snyder, Stanford"	ENCODE3
ENCSR038XIA	ENCFF896QHA	Homo sapiens MCF-7	ZNF444	"Michael Snyder, Stanford"	ENCODE3
ENCSR142SQX	ENCFF160KVW	Homo sapiens uterus tissue female adult (53 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR121PFY	ENCFF408RSJ	Homo sapiens K562	CDC5L	"Michael Snyder, Stanford"	ENCODE3
ENCSR785YRL	ENCFF122IMV	Homo sapiens neutrophil	CTCF	"Bradley Bernstein, Broad"	ENCODE3
ENCSR752NDX	ENCFF866HGW	Homo sapiens HepG2	ZNF282	"Michael Snyder, Stanford"	ENCODE3
ENCSR451CYX	ENCFF309TEO	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF280D	ZNF280D	"Michael Snyder, Stanford"	ENCODE3
ENCSR924GRG	ENCFF066ZQN	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB49	ZBTB49	"Michael Snyder, Stanford"	ENCODE3
ENCSR055WBT	ENCFF618BDP	Homo sapiens body of pancreas tissue male adult (37 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR439WAF	ENCFF855PXT	Homo sapiens GM12878	E4F1	"Michael Snyder, Stanford"	ENCODE3
ENCSR582MTM	ENCFF985QNV	Homo sapiens lower leg skin tissue male adult (37 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR516HUP	ENCFF356DDD	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	ZBTB33	"Richard Myers, HAIB"	ENCODE3
ENCSR417VWF	ENCFF813DZP	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZEB2	ZEB2	"Michael Snyder, Stanford"	ENCODE3
ENCSR978EQY	ENCFF576SDC	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens GLI2	GLI2	"Michael Snyder, Stanford"	ENCODE3
ENCSR168CEE	ENCFF996OEL	Homo sapiens K562	NCOA6	"Michael Snyder, Stanford"	ENCODE3
ENCSR278JQG	ENCFF682RGC	Homo sapiens HepG2	IKZF1	"Michael Snyder, Stanford"	ENCODE3
ENCSR552XSN	ENCFF652GOE	Homo sapiens GM12878	MLLT1	"Michael Snyder, Stanford"	ENCODE3
ENCSR800QIT	ENCFF162SGM	Homo sapiens HepG2	HNF1A	"Richard Myers, HAIB"	ENCODE3
ENCSR382MOM	ENCFF304RLZ	Homo sapiens with nonobstructive coronary artery disease; liver tissue male adult (32 years)	YY1	"Richard Myers, HAIB"	ENCODE3
ENCSR925GDS	ENCFF015NKY	Homo sapiens sigmoid colon tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR210ZYL	ENCFF052NNP	Homo sapiens HepG2	NBN	"Michael Snyder, Stanford"	ENCODE3
ENCSR886RYH	ENCFF318GYM	Homo sapiens K562	NONO	"Michael Snyder, Stanford"	ENCODE3
ENCSR960MDF	ENCFF007QNG	Homo sapiens ascending aorta tissue female adult (51 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR345YWJ	ENCFF458VTX	Homo sapiens liver tissue female child (4 years)	ZBTB33	"Richard Myers, HAIB"	ENCODE3
ENCSR154GUK	ENCFF065MQK	Homo sapiens tibial nerve tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR636MKU	ENCFF631RZH	Homo sapiens GM12878	BACH1	"Michael Snyder, Stanford"	ENCODE3
ENCSR025ZZA	ENCFF012VQA	Homo sapiens suprapubic skin tissue female adult (51 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR721AHD	ENCFF480QYI	Homo sapiens sigmoid colon tissue male adult (37 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR403USE	ENCFF582ZOJ	Homo sapiens sigmoid colon tissue female adult (53 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR428BKN	ENCFF575JKS	Homo sapiens gastrocnemius medialis tissue female adult (53 years)	CTCF	"Michael Snyder, Stanford"	ENCODE3
ENCSR736ZKL	ENCFF410SFG	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF148	ZNF148	"Michael Snyder, Stanford"	ENCODE3
ENCSR959UQA	ENCFF515PKG	Homo sapiens spleen tissue female adult (53 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR217KAL	ENCFF690GOL	Homo sapiens esophagus muscularis mucosa tissue male adult (37 years)	POLR2AphosphoS5	"Richard Myers, HAIB"	ENCODE3
ENCSR322JEO	ENCFF469KDX	Homo sapiens sigmoid colon tissue female adult (53 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR033NHF	ENCFF482BDW	Homo sapiens upper lobe of left lung tissue male adult (54 years)	POLR2A	"Michael Snyder, Stanford"	ENCODE3
ENCSR337NQP	ENCFF560XEP	Homo sapiens MCF-7	ESRRA	"Michael Snyder, Stanford"	ENCODE3
ENCSR574XEO	ENCFF669RLC	Homo sapiens K562	NUFIP1	"Michael Snyder, Stanford"	ENCODE3
ENCSR635XLM	ENCFF689DSV	Homo sapiens upper lobe of left lung tissue female adult (53 years)	EP300	"Richard Myers, HAIB"	ENCODE3
ENCSR360BLQ	ENCFF801RXA	Homo sapiens esophagus muscularis mucosa tissue male adult (37 years)	EP300	"Richard Myers, HAIB"	ENCODE3
ENCSR780BBJ	ENCFF797VEK	Homo sapiens K562	ZZZ3	"Michael Snyder, Stanford"	ENCODE3
ENCSR754ZHU	ENCFF306TAD	Homo sapiens K562	SNRNP70	"Xiang-Dong Fu, UCSD"	ENCODE3
ENCSR894CGX	ENCFF738XMN	Homo sapiens K562	SUPT5H	"Michael Snyder, Stanford"	ENCODE3
ENCSR530XQI	ENCFF063NIH	Homo sapiens K562	L3MBTL2	"Michael Snyder, Stanford"	ENCODE3
