# STARR silencer cCREs							
Chr	Start	End	cCRE accession	cCRE class	CAPRA quantification	P-value	Threshold
chr14	60067934	60068280	EH38E4107340	CA	-1.0705	3.46E-02	Robust
chr15	34256121	34256351	EH38E1752260	pELS	-1.0475	3.46E-02	Robust
chr12	123081976	123082265	EH38E3047938	pELS	-1.0494	3.47E-02	Robust
chr2	60079618	60079923	EH38E4216904	CA	-1.0494	3.47E-02	Robust
chr6	45615773	45615946	EH38E4402814	CA-CTCF	-0.7807	3.47E-02	Robust
chr1	17919488	17919780	EH38E3956327	CA-CTCF	-0.9903	3.47E-02	Robust
chr4	8683470	8683713	EH38E4326595	TF	-0.9903	3.47E-02	Robust
chr7	99129025	99129372	EH38E3788068	dELS	-0.9903	3.47E-02	Robust
chr11	66874687	66874907	EH38E2966064	dELS	-0.9580	3.47E-02	Robust
chrX	46977151	46977354	EH38E2753472	dELS	-0.9458	3.47E-02	Robust
chr6	31040358	31040537	EH38E2458840	dELS	-1.0162	3.47E-02	Robust
chr10	12442351	12442512	EH38E2886587	dELS	-0.9345	3.47E-02	Robust
chr16	77133814	77134158	EH38E1828807	dELS	-1.0699	3.47E-02	Robust
chr1	114105004	114105290	EH38E1378071	dELS	-1.0199	3.48E-02	Robust
chr7	134132988	134133138	EH38E4452188	TF	-0.7873	3.48E-02	Robust
chr15	42309026	42309284	EH38E3130689	dELS	-1.0041	3.48E-02	Robust
chr2	238173817	238174001	EH38E3410980	dELS	-0.8595	3.48E-02	Robust
chr6	89805904	89806061	EH38E4410189	dELS	-0.9626	3.48E-02	Robust
chr2	153874315	153874489	EH38E2042613	CA-H3K4me3	-0.9775	3.48E-02	Robust
chr16	24032888	24033161	EH38E3173667	dELS	-0.8661	3.49E-02	Robust
chr15	63724823	63725127	EH38E1769372	dELS	-1.0739	3.49E-02	Robust
chr2	70985731	70986013	EH38E3351222	dELS	-1.0739	3.49E-02	Robust
chr12	66683494	66683745	EH38E3024959	dELS	-1.0743	3.49E-02	Robust
chr17	39306127	39306372	EH38E4161224	dELS	-1.0743	3.49E-02	Robust
chr6	3256932	3257140	EH38E4392755	CA-H3K4me3	-0.8653	3.49E-02	Robust
chr1	3426788	3426947	EH38E2780108	CA-CTCF	-0.8929	3.49E-02	Robust
chr12	22121303	22121545	EH38E3006931	CA-CTCF	-0.9576	3.49E-02	Robust
chr1	95124941	95125211	EH38E3973501	CA	-0.9841	3.49E-02	Robust
chr16	836297	836511	EH38E4133252	TF	-1.0722	3.49E-02	Robust
chr15	33952058	33952373	EH38E4119373	CA	-1.0212	3.49E-02	Robust
chr9	92675348	92675561	EH38E3893632	pELS	-1.0212	3.49E-02	Robust
chr12	14236741	14236898	EH38E4057376	CA-CTCF	-0.8732	3.49E-02	Robust
chr6	86604858	86605081	EH38E3719478	dELS	-0.8732	3.49E-02	Robust
chr3	263514	263671	EH38E2173535	dELS	-1.0133	3.49E-02	Robust
chr15	75595244	75595521	EH38E3146914	dELS	-1.0390	3.49E-02	Robust
chr1	198622054	198622390	EH38E2856392	dELS	-1.0210	3.50E-02	Robust
chr21	31982055	31982395	EH38E4273094	CA	-1.0210	3.50E-02	Robust
chr3	171408998	171409190	EH38E3553347	dELS	-1.0210	3.50E-02	Robust
chr4	53393658	53393859	EH38E3584476	dELS	-1.0210	3.50E-02	Robust
chr4	55271953	55272158	EH38E4334744	TF	-1.0210	3.50E-02	Robust
chr7	81301867	81302171	EH38E3782940	dELS	-1.0210	3.50E-02	Robust
chr15	81918881	81919031	EH38E1782707	CA-H3K4me3	-0.8899	3.50E-02	Robust
chr4	176627108	176627312	EH38E3616917	dELS	-0.8899	3.50E-02	Robust
chr11	33616551	33616887	EH38E1531230	dELS	-1.0718	3.50E-02	Robust
chr2	136424544	136424866	EH38E4231759	dELS	-1.0718	3.50E-02	Robust
chr6	142213323	142213507	EH38E4419290	TF	-0.7532	3.50E-02	Robust
chr19	51023040	51023359	EH38E4202063	CA	-1.0419	3.50E-02	Robust
chr21	15223742	15223943	EH38E3450939	pELS	-1.0723	3.50E-02	Robust
chr1	49995802	49996059	EH38E3964721	CA-CTCF	-0.9771	3.50E-02	Robust
chr20	47016128	47016401	EH38E4263512	CA-CTCF	-1.0023	3.50E-02	Robust
chr2	81982115	81982276	EH38E3354655	dELS	-0.9251	3.50E-02	Robust
chr2	53958290	53958467	EH38E4215724	dELS	-0.9542	3.50E-02	Robust
chr9	92016535	92016847	EH38E4500771	CA	-1.0458	3.50E-02	Robust
chr10	90028226	90028564	EH38E4016808	CA-CTCF	-1.0733	3.50E-02	Robust
chr10	111313490	111313772	EH38E2925006	dELS	-1.0733	3.50E-02	Robust
chr15	87317993	87318301	EH38E3152575	dELS	-1.0733	3.50E-02	Robust
chr9	6003879	6004096	EH38E3873181	dELS	-1.0733	3.50E-02	Robust
chr5	139359546	139359896	EH38E3664587	dELS	-1.0532	3.50E-02	Robust
chr7	71995606	71995935	EH38E3778899	dELS	-1.0646	3.51E-02	Robust
chr13	48178519	48178718	EH38E1674944	dELS	-0.9751	3.51E-02	Robust
chr12	91989144	91989306	EH38E1632264	pELS	-1.0732	3.51E-02	Robust
chr17	75668572	75668803	EH38E1886163	pELS	-1.0732	3.51E-02	Robust
chr17	76549124	76549340	EH38E1887167	pELS	-1.0732	3.51E-02	Robust
chr9	41659743	41659925	EH38E4495792	CA	-0.9992	3.51E-02	Robust
chr12	4036340	4036496	EH38E2999617	dELS	-1.0722	3.51E-02	Robust
chr19	6283245	6283514	EH38E4191540	TF	-1.0721	3.51E-02	Robust
chr9	27762844	27763176	EH38E4493483	CA	-1.0721	3.51E-02	Robust
chr1	109215838	109215988	EH38E3975944	TF	-0.9373	3.51E-02	Robust
chr20	32112177	32112488	EH38E3427176	dELS	-1.0719	3.51E-02	Robust
chr9	36748364	36748709	EH38E4495111	dELS	-1.0719	3.51E-02	Robust
chr5	133866190	133866536	EH38E3661444	dELS	-0.9901	3.51E-02	Robust
chr5	146389989	146390287	EH38E4384324	CA-CTCF	-1.0431	3.51E-02	Robust
chr12	66046376	66046709	EH38E1620808	dELS	-1.0665	3.52E-02	Robust
chr7	54690901	54691218	EH38E4437252	CA	-0.9566	3.52E-02	Robust
chr3	193970212	193970479	EH38E3562326	dELS	-1.0447	3.52E-02	Robust
chr9	137933217	137933419	EH38E3921956	CA-CTCF	-1.0418	3.52E-02	Robust
chr5	180414191	180414403	EH38E2437562	CA-CTCF	-0.8787	3.52E-02	Robust
chr6	20810361	20810582	EH38E2452603	dELS	-1.0445	3.52E-02	Robust
chr8	74536282	74536489	EH38E4472269	CA	-0.8884	3.53E-02	Robust
chr8	61580278	61580487	EH38E4469881	TF	-1.0090	3.53E-02	Robust
chr22	23353083	23353268	EH38E4279062	CA-CTCF	-0.8382	3.53E-02	Robust
chr1	23854581	23854914	EH38E2794765	dELS	-1.0556	3.53E-02	Robust
chr7	70632463	70632686	EH38E3778457	dELS	-1.0556	3.53E-02	Robust
chr10	98299543	98299741	EH38E1492383	dELS	-0.8164	3.53E-02	Robust
chr1	45227660	45227996	EH38E3963711	CA	-1.0393	3.53E-02	Robust
chr13	51339813	51340102	EH38E1677174	pELS	-1.0088	3.53E-02	Robust
chr1	108595541	108595849	EH38E1374185	dELS	-1.0384	3.53E-02	Robust
chr8	30490830	30491028	EH38E2622084	dELS	-0.9884	3.53E-02	Robust
chr2	98275509	98275711	EH38E3359316	CA-CTCF	-0.9208	3.54E-02	Robust
chr14	95609461	95609754	EH38E3113749	CA-CTCF	-0.9718	3.54E-02	Robust
chr17	57691816	57692046	EH38E4166728	CA-TF	-0.9718	3.54E-02	Robust
chr15	101497136	101497448	EH38E3159686	pELS	-0.9497	3.54E-02	Robust
chr1	232965253	232965540	EH38E1432448	dELS	-0.9928	3.54E-02	Robust
chr5	135463813	135464026	EH38E4382000	CA-CTCF	-0.8346	3.54E-02	Robust
chr7	39535815	39536145	EH38E3769065	dELS	-1.0075	3.54E-02	Robust
chr10	14176403	14176662	EH38E2887479	CA-H3K4me3	-1.0380	3.54E-02	Robust
chr12	124986949	124987233	EH38E3049607	CA-H3K4me3	-1.0380	3.54E-02	Robust
chr12	106375111	106375414	EH38E4074410	TF	-1.0594	3.54E-02	Robust
chr5	124044687	124044935	EH38E4379830	CA	-1.0594	3.54E-02	Robust
chr9	82763617	82763955	EH38E2701644	dELS	-1.0594	3.54E-02	Robust
chr15	65604044	65604195	EH38E3140458	dELS	-0.9671	3.54E-02	Robust
chr8	142973401	142973602	EH38E2674779	dELS	-0.9865	3.54E-02	Robust
chr17	12412573	12412778	EH38E4156052	dELS	-0.9894	3.55E-02	Robust
chr19	41924648	41924807	EH38E3307221	dELS	-0.9092	3.55E-02	Robust
chr14	20730392	20730674	EH38E3085390	dELS	-1.0591	3.55E-02	Robust
chr4	79560245	79560482	EH38E2306619	dELS	-1.0591	3.55E-02	Robust
chr21	32979981	32980147	EH38E3455393	dELS	-1.0598	3.55E-02	Robust
chr8	138808223	138808373	EH38E4486417	TF	-1.0654	3.55E-02	Robust
chr1	93398853	93399015	EH38E2825142	dELS	-0.9051	3.55E-02	Robust
chr1	208152292	208152548	EH38E2862795	dELS	-1.0650	3.55E-02	Robust
chr11	48162967	48163300	EH38E2958108	dELS	-1.0650	3.55E-02	Robust
chr13	20387008	20387348	EH38E4082027	dELS	-1.0650	3.55E-02	Robust
chr2	130025979	130026221	EH38E3371711	CA-CTCF	-1.0650	3.55E-02	Robust
chr20	7860105	7860400	EH38E4254856	CA	-1.0650	3.55E-02	Robust
chr7	137787344	137787666	EH38E3802996	CA-CTCF	-1.0650	3.55E-02	Robust
chr1	156683460	156683703	EH38E3980595	CA-CTCF	-0.8072	3.55E-02	Robust
chr11	74676624	74676935	EH38E2972472	dELS	-0.9951	3.55E-02	Robust
chr1	229684736	229684947	EH38E2872378	CA-H3K4me3	-1.0694	3.55E-02	Robust
chr9	126988916	126989262	EH38E4507867	TF	-0.9807	3.55E-02	Robust
chr15	20211979	20212268	EH38E3122590	dELS	-1.0682	3.56E-02	Robust
chr8	143602024	143602278	EH38E2675400	dELS	-1.0692	3.56E-02	Robust
chr5	139299642	139299796	EH38E2413297	PLS	-0.7865	3.56E-02	Robust
chr1	242199542	242199808	EH38E2877652	dELS	-0.9517	3.56E-02	Robust
chr19	57123971	57124198	EH38E4203376	CA-TF	-0.9805	3.56E-02	Robust
chr10	45253706	45253864	EH38E4007690	pELS	-1.0288	3.56E-02	Robust
chr7	142240040	142240259	EH38E4453943	CA	-0.9686	3.56E-02	Robust
chrX	150509749	150509972	EH38E3947962	dELS	-0.9686	3.56E-02	Robust
chr10	59765034	59765204	EH38E4010356	CA	-0.8898	3.56E-02	Robust
chr1	213276298	213276534	EH38E1420799	dELS	-1.0285	3.56E-02	Robust
chrX	13023067	13023238	EH38E2742936	dELS	-0.8539	3.56E-02	Robust
chr3	16240691	16240944	EH38E2182161	dELS	-1.0643	3.56E-02	Robust
chr1	157321979	157322329	EH38E3980791	TF	-1.0081	3.57E-02	Robust
chr3	63326436	63326786	EH38E4299689	CA	-1.0081	3.57E-02	Robust
chr6	6191562	6191836	EH38E2442711	CA-CTCF	-1.0081	3.57E-02	Robust
chr7	1595177	1595378	EH38E4426608	TF	-1.0081	3.57E-02	Robust
chr6	158665004	158665282	EH38E3744431	dELS	-1.0640	3.57E-02	Robust
chr14	104534700	104534901	EH38E3120157	dELS	-1.0696	3.57E-02	Robust
chr5	1403819	1403996	EH38E4358476	CA-CTCF	-0.8559	3.57E-02	Robust
chr1	181988706	181988896	EH38E3985432	dELS	-0.8360	3.57E-02	Robust
chr4	107199378	107199590	EH38E4343282	CA	-0.9466	3.58E-02	Robust
chr4	16482699	16483006	EH38E4328173	CA	-1.0691	3.58E-02	Robust
chr7	104357169	104357512	EH38E4446016	CA	-1.0691	3.58E-02	Robust
chr9	13477211	13477540	EH38E3874839	CA-CTCF	-0.9924	3.58E-02	Robust
chr16	50500608	50500759	EH38E4142843	TF	-0.9148	3.58E-02	Robust
chr10	102717789	102718044	EH38E2921759	dELS	-0.9922	3.58E-02	Robust
chr5	154741471	154741744	EH38E3672466	dELS	-0.9849	3.58E-02	Robust
chr2	113885603	113885779	EH38E3366220	dELS	-1.0516	3.58E-02	Robust
chr1	93325723	93325927	EH38E1368051	dELS	-0.9179	3.59E-02	Robust
chr3	177549216	177549393	EH38E3555372	dELS	-1.0439	3.59E-02	Robust
chr12	77679712	77680036	EH38E1626545	dELS	-1.0438	3.59E-02	Robust
chr19	38341172	38341518	EH38E4198290	CA-TF	-1.0438	3.59E-02	Robust
chr17	57730359	57730509	EH38E4166741	CA-CTCF	-0.8087	3.59E-02	Robust
chr17	34797731	34798075	EH38E4160148	dELS	-1.0361	3.60E-02	Robust
chr2	187465631	187465820	EH38E3389565	dELS	-1.0587	3.60E-02	Robust
chr8	75570712	75571004	EH38E2641259	CA	-1.0587	3.60E-02	Robust
chr2	217878922	217879184	EH38E3400071	dELS	-1.0657	3.60E-02	Robust
chr7	103144010	103144270	EH38E3790943	dELS	-1.0657	3.60E-02	Robust
chr15	72014812	72014974	EH38E4126443	dELS	-1.0470	3.61E-02	Robust
chr17	65961315	65961646	EH38E3238146	dELS	-1.0470	3.61E-02	Robust
chr20	24192773	24193049	EH38E4258375	CA	-1.0361	3.61E-02	Robust
chr17	27541940	27542135	EH38E3214968	dELS	-0.8994	3.61E-02	Robust
chr13	105952984	105953239	EH38E4097545	dELS	-1.0482	3.61E-02	Robust
chr16	16767083	16767241	EH38E4137869	TF	-1.0482	3.61E-02	Robust
chr4	142492755	142492931	EH38E4349389	CA	-0.7886	3.61E-02	Robust
chr2	233842727	233842950	EH38E4250598	dELS	-1.0597	3.61E-02	Robust
chr17	74183509	74183710	EH38E3242047	dELS	-1.0071	3.61E-02	Robust
chr7	38308791	38308998	EH38E4434033	dELS	-1.0596	3.61E-02	Robust
chr17	34320123	34320324	EH38E3218778	pELS	-0.8847	3.61E-02	Robust
chr9	6301928	6302197	EH38E3873260	dELS	-0.8977	3.61E-02	Robust
chr8	65267884	65268076	EH38E2636476	CA-CTCF	-0.9872	3.62E-02	Robust
chr10	100678365	100678553	EH38E2920257	CA-CTCF	-1.0223	3.62E-02	Robust
chr8	61370792	61371033	EH38E4469847	CA	-0.9930	3.62E-02	Robust
chr10	121362653	121362918	EH38E2929457	dELS	-0.9668	3.62E-02	Robust
chr1	165825679	165825908	EH38E2845442	CA-H3K4me3	-0.9603	3.62E-02	Robust
chr1	68921600	68921789	EH38E3968606	CA	-0.9804	3.62E-02	Robust
chr16	780866	781035	EH38E3160967	dELS	-0.9367	3.62E-02	Robust
chr18	54136712	54136917	EH38E1917666	CA-H3K4me3	-0.9415	3.62E-02	Robust
chr2	170252662	170252858	EH38E4238444	CA-TF	-1.0051	3.62E-02	Robust
chr18	43694520	43694756	EH38E4181782	CA	-1.0512	3.62E-02	Robust
chr2	203868121	203868314	EH38E3395148	pELS	-1.0512	3.62E-02	Robust
chr8	28025324	28025486	EH38E4464038	CA	-0.7937	3.63E-02	Robust
chr5	80921102	80921373	EH38E3646033	dELS	-0.9980	3.63E-02	Robust
chr5	267272	267488	EH38E2351838	dELS	-0.8857	3.63E-02	Robust
chr14	62189717	62190038	EH38E4107647	CA	-1.0210	3.63E-02	Robust
chr5	126253445	126253633	EH38E2405445	CA-H3K4me3	-1.0367	3.63E-02	Robust
chr10	127104916	127105195	EH38E1509555	CA	-1.0652	3.63E-02	Robust
chr14	33032343	33032687	EH38E3089869	CA-CTCF	-1.0652	3.63E-02	Robust
chr9	79286153	79286499	EH38E4498270	CA	-1.0652	3.63E-02	Robust
chr15	65816973	65817306	EH38E4124979	pELS	-1.0510	3.63E-02	Robust
chr12	57480696	57480989	EH38E3021469	pELS	-1.0653	3.63E-02	Robust
chr2	207802674	207803022	EH38E2070056	dELS	-1.0653	3.63E-02	Robust
chr1	93841824	93842135	EH38E2825449	dELS	-1.0291	3.63E-02	Robust
chr8	119089830	119090063	EH38E4480782	CA	-1.0291	3.63E-02	Robust
chr5	66703076	66703387	EH38E4370052	CA	-1.0021	3.64E-02	Robust
chr9	130454201	130454532	EH38E4508811	dELS	-1.0060	3.64E-02	Robust
chr10	82092171	82092441	EH38E4015250	CA	-1.0455	3.64E-02	Robust
chr12	126944010	126944263	EH38E3050153	dELS	-1.0491	3.64E-02	Robust
chr4	184136626	184136831	EH38E2348632	CA-H3K4me3	-1.0485	3.64E-02	Robust
chr4	15915377	15915690	EH38E3575154	dELS	-1.0485	3.64E-02	Robust
chr12	3405951	3406145	EH38E1587937	CA-H3K4me3	-0.8727	3.64E-02	Robust
chr1	100390568	100390899	EH38E2827421	dELS	-1.0622	3.64E-02	Robust
chr12	118127855	118128200	EH38E1648673	dELS	-1.0622	3.64E-02	Robust
chr8	8777719	8778069	EH38E2608931	dELS	-1.0622	3.64E-02	Robust
chr15	57582146	57582488	EH38E3136143	dELS	-1.0587	3.64E-02	Robust
chr12	17405196	17405350	EH38E1596294	CA-H3K4me3	-0.8820	3.64E-02	Robust
chr4	82522587	82522752	EH38E4339288	CA-TF	-0.8820	3.64E-02	Robust
chr8	9999583	9999758	EH38E2609803	dELS	-0.8820	3.64E-02	Robust
chr2	152443894	152444046	EH38E2042079	dELS	-0.7681	3.64E-02	Robust
chr9	70214977	70215281	EH38E3884804	dELS	-0.9343	3.64E-02	Robust
chr11	68470478	68470825	EH38E1547991	dELS	-1.0653	3.64E-02	Robust
chr11	6437239	6437426	EH38E2942266	dELS	-1.0653	3.64E-02	Robust
chr2	174594561	174594833	EH38E4239325	dELS	-1.0653	3.64E-02	Robust
chr5	1372327	1372587	EH38E4358452	pELS	-0.9282	3.64E-02	Robust
chr12	106221802	106222070	EH38E3038176	dELS	-0.9332	3.65E-02	Robust
chr7	21172846	21173115	EH38E2538822	CA	-0.8585	3.65E-02	Robust
chr1	225547394	225547636	EH38E1427007	dELS	-0.9342	3.65E-02	Robust
chr3	48210012	48210213	EH38E3511597	CA-H3K4me3	-0.9342	3.65E-02	Robust
chr2	240464034	240464245	EH38E3413053	CA-H3K4me3	-0.9476	3.65E-02	Robust
chr12	28369554	28369827	EH38E3009193	CA-H3K4me3	-1.0460	3.65E-02	Robust
chr1	26225723	26225886	EH38E2796797	pELS	-1.0152	3.65E-02	Robust
chr11	9012234	9012384	EH38E1518866	CA-CTCF	-0.8569	3.65E-02	Robust
chr6	128066330	128066531	EH38E3731648	dELS	-1.0134	3.65E-02	Robust
chr2	224736496	224736712	EH38E4248670	CA-H3K4me3	-0.8361	3.65E-02	Robust
chr1	153552472	153552630	EH38E2838427	dELS	-0.7951	3.65E-02	Robust
chr1	17506363	17506646	EH38E3956187	CA	-0.8601	3.66E-02	Robust
chr1	184895134	184895472	EH38E1405094	dELS	-0.8601	3.66E-02	Robust
chr10	59177413	59177763	EH38E1470129	pELS	-0.8601	3.66E-02	Robust
chr10	114518427	114518754	EH38E2926460	dELS	-0.8601	3.66E-02	Robust
chr14	54489280	54489436	EH38E3095672	pELS	-0.8601	3.66E-02	Robust
chr21	18916319	18916579	EH38E4270754	CA	-0.8601	3.66E-02	Robust
chr22	44499779	44500045	EH38E3486146	pELS	-0.8601	3.66E-02	Robust
chr5	96481892	96482242	EH38E4374875	dELS	-0.8601	3.66E-02	Robust
chr6	145403438	145403737	EH38E4419958	CA	-0.8601	3.66E-02	Robust
chrX	103336804	103337110	EH38E4525563	dELS	-0.8601	3.66E-02	Robust
chr3	17024089	17024283	EH38E2182855	dELS	-0.9307	3.66E-02	Robust
chr18	47803374	47803539	EH38E1914365	CA	-0.7356	3.66E-02	Robust
chrX	23964259	23964491	EH38E2747057	dELS	-1.0190	3.66E-02	Robust
chr1	233616393	233616724	EH38E2874303	dELS	-0.8601	3.66E-02	Robust
chr1	45523924	45524220	EH38E3963781	pELS	-0.8601	3.66E-02	Robust
chr13	26285933	26286277	EH38E4083227	CA	-0.8601	3.66E-02	Robust
chr16	73230764	73231109	EH38E3190247	pELS	-0.8601	3.66E-02	Robust
chr17	31833924	31834274	EH38E4159362	TF	-0.8601	3.66E-02	Robust
chr5	2453162	2453409	EH38E3623438	CA-CTCF	-0.8601	3.66E-02	Robust
chr7	108181072	108181392	EH38E2580593	dELS	-0.8601	3.66E-02	Robust
chr8	68548828	68549168	EH38E4471139	CA	-0.8601	3.66E-02	Robust
chr9	91752458	91752646	EH38E4500723	dELS	-0.9621	3.66E-02	Robust
chr3	99699134	99699392	EH38E3527636	dELS	-1.0492	3.66E-02	Robust
chr10	82500958	82501292	EH38E2912947	dELS	-1.0397	3.66E-02	Robust
chr5	14308875	14309041	EH38E2358280	CA-TF	-1.0397	3.66E-02	Robust
chr4	94499680	94499849	EH38E4341217	dELS	-0.8245	3.66E-02	Robust
chr4	122278806	122279007	EH38E4345955	TF	-0.9423	3.66E-02	Robust
chr18	23578308	23578632	EH38E1904196	dELS	-0.9186	3.67E-02	Robust
chrX	109355610	109355840	EH38E4526420	CA	-0.7961	3.67E-02	Robust
chrX	22968648	22968832	EH38E2746736	dELS	-1.0060	3.67E-02	Robust
chr6	45241113	45241272	EH38E4402742	TF	-1.0084	3.67E-02	Robust
chr7	22414530	22414718	EH38E3761517	dELS	-0.8300	3.67E-02	Robust
chr2	198164990	198165169	EH38E2064419	dELS	-0.9190	3.67E-02	Robust
chr17	81612705	81613019	EH38E3250735	dELS	-1.0383	3.67E-02	Robust
chr8	97804938	97805285	EH38E3846968	dELS	-1.0435	3.68E-02	Robust
chr11	34641046	34641283	EH38E2952811	pELS	-0.9990	3.68E-02	Robust
chr3	4835037	4835277	EH38E3492898	dELS	-0.9082	3.68E-02	Robust
chr3	139038478	139038728	EH38E4312606	CA	-0.8371	3.68E-02	Robust
chr18	32205263	32205545	EH38E1907890	dELS	-0.9914	3.68E-02	Robust
chr4	55831879	55832086	EH38E2298302	CA-CTCF	-0.9070	3.68E-02	Robust
chrX	103689665	103689825	EH38E4525622	pELS	-0.9747	3.68E-02	Robust
chr6	111832124	111832330	EH38E3727046	dELS	-0.8807	3.68E-02	Robust
chr3	186253076	186253242	EH38E4321437	CA	-0.8537	3.68E-02	Robust
chr17	72553459	72553782	EH38E3240979	dELS	-1.0415	3.68E-02	Robust
chrX	143086294	143086456	EH38E4531551	CA	-1.0415	3.68E-02	Robust
chr1	113681837	113682177	EH38E2832003	dELS	-0.9158	3.69E-02	Robust
chr11	62660732	62661082	EH38E4038388	TF	-0.9158	3.69E-02	Robust
chr12	64066036	64066383	EH38E1619416	dELS	-0.9158	3.69E-02	Robust
chr12	74689967	74690292	EH38E3027664	dELS	-0.9158	3.69E-02	Robust
chr13	48765092	48765336	EH38E4087195	CA	-0.9158	3.69E-02	Robust
chr13	43408237	43408582	EH38E1672049	dELS	-0.9158	3.69E-02	Robust
chr14	45204299	45204549	EH38E1711427	CA-CTCF	-0.9158	3.69E-02	Robust
chr16	76230330	76230645	EH38E4148730	CA	-0.9158	3.69E-02	Robust
chr17	14492480	14492821	EH38E4156467	dELS	-0.9158	3.69E-02	Robust
chr19	40447272	40447622	EH38E4199015	TF	-0.9158	3.69E-02	Robust
chr2	63891546	63891896	EH38E2003357	dELS	-0.9158	3.69E-02	Robust
chr2	58488149	58488455	EH38E4216540	CA	-0.9158	3.69E-02	Robust
chr20	13250721	13250937	EH38E2098799	dELS	-0.9158	3.69E-02	Robust
chr20	46724498	46724848	EH38E4263410	TF	-0.9158	3.69E-02	Robust
chr3	191962326	191962632	EH38E2269505	dELS	-0.9158	3.69E-02	Robust
chr4	56082901	56083151	EH38E3585481	CA-CTCF	-0.9158	3.69E-02	Robust
chr4	76267834	76268183	EH38E4338168	CA-CTCF	-0.9158	3.69E-02	Robust
chr5	2280615	2280903	EH38E4358888	TF	-0.9158	3.69E-02	Robust
chr6	43400314	43400664	EH38E4402201	TF	-0.9158	3.69E-02	Robust
chr7	685641	685841	EH38E4426222	CA-TF	-0.9158	3.69E-02	Robust
chr8	121863342	121863653	EH38E4481255	dELS	-0.9158	3.69E-02	Robust
chr11	120552525	120552742	EH38E2989709	dELS	-0.7979	3.69E-02	Robust
chr15	26690799	26691132	EH38E3124058	dELS	-0.9158	3.69E-02	Robust
chr19	15631818	15632082	EH38E3293647	dELS	-0.9158	3.69E-02	Robust
chr2	10658937	10659105	EH38E1972983	dELS	-0.9158	3.69E-02	Robust
chr2	9740287	9740539	EH38E3323931	pELS	-0.9158	3.69E-02	Robust
chr3	166898589	166898834	EH38E4317730	CA	-0.9158	3.69E-02	Robust
chr7	33420330	33420660	EH38E3766582	CA-H3K4me3	-0.9158	3.69E-02	Robust
chr7	86976997	86977312	EH38E4442295	dELS	-0.9158	3.69E-02	Robust
chr8	75337101	75337444	EH38E4472383	CA	-0.9158	3.69E-02	Robust
chr8	94445357	94445597	EH38E4475894	TF	-0.9158	3.69E-02	Robust
chr9	86095838	86096181	EH38E3890044	dELS	-0.9158	3.69E-02	Robust
chr9	129453348	129453571	EH38E3912061	dELS	-0.9158	3.69E-02	Robust
chr18	12402790	12403135	EH38E3257881	dELS	-1.0515	3.69E-02	Robust
chr2	20015613	20015815	EH38E1978114	CA-CTCF	-1.0515	3.69E-02	Robust
chr8	135320415	135320718	EH38E4485156	dELS	-1.0515	3.69E-02	Robust
chr7	142831482	142831731	EH38E2597783	dELS	-1.0445	3.69E-02	Robust
chr9	70491041	70491278	EH38E3884945	dELS	-1.0491	3.69E-02	Robust
chr9	86804094	86804309	EH38E4499748	CA	-0.9851	3.70E-02	Robust
chr12	2726424	2726579	EH38E4054977	CA-CTCF	-0.8495	3.70E-02	Robust
chr6	161230497	161230651	EH38E4423436	dELS	-0.9580	3.70E-02	Robust
chr12	57599254	57599598	EH38E4065169	CA	-1.0518	3.70E-02	Robust
chr1	187744687	187745034	EH38E2854242	dELS	-1.0443	3.70E-02	Robust
chr16	25944098	25944302	EH38E3174349	CA-H3K4me3	-1.0443	3.70E-02	Robust
chr3	183912988	183913195	EH38E2264054	dELS	-1.0516	3.71E-02	Robust
chr9	104794122	104794409	EH38E3898777	dELS	-1.0470	3.71E-02	Robust
chr18	52206247	52206448	EH38E4183589	CA	-0.9443	3.71E-02	Robust
chr18	23696001	23696211	EH38E3260269	dELS	-1.0373	3.71E-02	Robust
chr13	50965400	50965729	EH38E1676936	dELS	-1.0613	3.71E-02	Robust
chr19	28400542	28400767	EH38E1947162	dELS	-1.0613	3.71E-02	Robust
chr2	148946331	148946624	EH38E2040087	CA-CTCF	-1.0613	3.71E-02	Robust
chr22	50379192	50379376	EH38E3491199	dELS	-0.9472	3.71E-02	Robust
chr10	29032227	29032561	EH38E2893073	dELS	-0.8091	3.72E-02	Robust
chr10	11500020	11500370	EH38E4001748	dELS	-0.8091	3.72E-02	Robust
chr11	128365102	128365451	EH38E1580880	CA-CTCF	-0.8091	3.72E-02	Robust
chr11	22166168	22166518	EH38E4031777	TF	-0.8091	3.72E-02	Robust
chr12	10642679	10643015	EH38E1592483	dELS	-0.8091	3.72E-02	Robust
chr12	71070840	71071122	EH38E3026907	dELS	-0.8091	3.72E-02	Robust
chr12	89789893	89790241	EH38E3031721	dELS	-0.8091	3.72E-02	Robust
chr12	103588800	103589042	EH38E3036761	pELS	-0.8091	3.72E-02	Robust
chr12	45535669	45536019	EH38E4062244	TF	-0.8091	3.72E-02	Robust
chr14	50268474	50268674	EH38E4105684	CA-CTCF	-0.8091	3.72E-02	Robust
chr19	10425846	10426007	EH38E3289477	dELS	-0.8091	3.72E-02	Robust
chr19	31292645	31292995	EH38E4196736	TF	-0.8091	3.72E-02	Robust
chr2	61272498	61272748	EH38E2001870	dELS	-0.8091	3.72E-02	Robust
chr2	198652478	198652824	EH38E4243712	CA	-0.8091	3.72E-02	Robust
